"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"ENSMUSG00000029711",414.099316214386,5.39491769328819,0.3758433437839,14.3541658579701,1.00325341064943e-46,1.75047655090113e-42,"Epo"
"ENSMUSG00000071562",149.010052813133,-4.19921165418641,0.323223344564047,-12.991671934619,1.36414023724338e-38,1.19007594297113e-34,"Stfa1"
"ENSMUSG00000045817",1636.22409148478,-2.07053670970638,0.211064111088094,-9.80998948154752,1.01979189909044e-22,5.93110968511e-19,"Zfp36l2"
"ENSMUSG00000091694",66.2693741162005,3.14918484359042,0.337776975043555,9.32326675962547,1.12812278325985e-20,4.92087158057948e-17,"Apol11b"
"ENSMUSG00000079597",110.187284199506,-3.40613390319187,0.379351769525105,-8.9788269801822,2.73668739961519e-19,9.54994434969715e-16,"Gm5483"
"ENSMUSG00000071561",129.780401444062,-2.9185886815542,0.345861994276873,-8.43859322460789,3.21179738377216e-17,9.33990679200944e-14,"BC100530"
"ENSMUSG00000048489",715.974169986975,1.50061827907498,0.183864969680771,8.16152354459023,3.30824885421495e-16,8.24604657262036e-13,"8430408G22Rik"
"ENSMUSG00000079262",2631.05003959862,1.05980337669513,0.132299710857492,8.01062504087184,1.14126912371646e-15,2.48910795882559e-12,"Slco1a6"
"ENSMUSG00000022902",55.9443827244353,-2.57941464441858,0.335093542640771,-7.69759579397142,1.3865014164479e-14,2.68796407935366e-11,"Stfa2"
"ENSMUSG00000073411",10389.8164647864,1.03929891541467,0.137817540699803,7.54112219777951,4.65944238723056e-14,8.12979507723987e-11,"H2-D1"
"ENSMUSG00000069456",1617.95005914082,1.09328209854016,0.158406554167024,6.90174787456963,5.13665442756672e-12,8.14766785928946e-09,"Rdh16"
"ENSMUSG00000059657",64.6015211806564,-3.12044413562,0.462018741877355,-6.7539341000334,1.43889125719026e-11,2.09214788795464e-08,"Stfa2l1"
"ENSMUSG00000024610",1735.93633447586,1.44814657070509,0.215892703930227,6.70771426890418,1.97696550018972e-11,2.65339184979309e-08,"Cd74"
"ENSMUSG00000049152",2924.65383082225,1.38298966984068,0.207599253023721,6.66182392131562,2.70449934783067e-11,3.37057890149639e-08,"Ugt3a2"
