"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"ENSMUSG00000045817",2881.72715905623,-2.38763681835189,0.134105621414893,-17.8041516318326,6.56190346745451e-71,1.23928108886346e-66,"Zfp36l2"
"ENSMUSG00000019866",1230.77340106599,2.57378881071536,0.162600140699548,15.8289457785353,1.96485662617967e-56,1.85541411210147e-52,"Crybg1"
"ENSMUSG00000031376",362.8464827399,2.68693773611558,0.171832388474629,15.6369690252679,4.07675755830068e-55,2.56645477486889e-51,"Atp2b3"
"ENSMUSG00000051065",2046.85883390443,1.24926002011068,0.0820643602443535,15.222930104992,2.49118999884616e-52,1.17621535795522e-48,"Mb21d2"
"ENSMUSG00000094635",356.341325385851,3.02184677006002,0.206039910883899,14.6663175939869,1.05940511034018e-48,4.00158498277694e-45,"ENSMUSG00000094635"
"ENSMUSG00000053367",491.715403139775,3.13036078210649,0.216740282928334,14.4429117643145,2.77851431718067e-47,8.74583689904569e-44,"ENSMUSG00000053367"
"ENSMUSG00000069867",263.861014984925,-7.28048794354479,0.506193478237359,-14.3828165643235,6.63388542232552e-47,1.78982228694343e-43,"Pabpn1l"
"ENSMUSG00000027276",5399.2558408914,1.51977374830871,0.10579623553491,14.3651023179102,8.5680079636025e-47,2.02269248000746e-43,"Jag1"
"ENSMUSG00000028838",1075.25301267086,1.9314724848345,0.142425123043208,13.5613187025195,6.7904220342506e-42,1.42493233932063e-38,"Extl1"
"ENSMUSG00000091827",155.87419171302,3.995420884597,0.329782709197342,12.1153134265937,8.76285101153016e-34,1.65495204203759e-30,"ENSMUSG00000091827"
"ENSMUSG00000074377",201.119425823661,2.54367531238832,0.221425122534486,11.4877448560163,1.5202891894949e-30,2.61019833025461e-27,"ENSMUSG00000074377"
"ENSMUSG00000057534",2939.05214452155,-1.46732566612995,0.128458314987578,-11.4225822304444,3.22506802248602e-30,5.07571955605592e-27,"ENSMUSG00000057534"
"ENSMUSG00000085723",239.638120694404,1.7963285608424,0.158957531865199,11.3006822625161,1.30202481563706e-29,1.8915415898555e-26,"Gm15915"
"ENSMUSG00000009876",1270.80714272767,2.18271404366531,0.198721254738995,10.9837976140607,4.5728711085591e-28,6.16880312544623e-25,"Cox4i2"
