gene_id,n_tissues_up,Lung,Liver,BM,Spleen,Ovary,Kidney
ENSMUSG00000091694,6,1,1,1,1,1,1
ENSMUSG00000106438,5,1,1,1,1,0,1
ENSMUSG00000035352,5,1,1,1,1,1,0
ENSMUSG00000041481,5,1,1,1,1,1,0
ENSMUSG00000032080,4,1,1,1,0,0,1
ENSMUSG00000045868,4,1,1,1,1,0,0
ENSMUSG00000048489,4,0,0,1,1,1,1
ENSMUSG00000023349,4,0,1,1,1,1,0
ENSMUSG00000073409,4,1,1,1,0,0,1
ENSMUSG00000066363,4,1,1,1,1,0,0
ENSMUSG00000038530,4,0,1,1,1,0,1
ENSMUSG00000015437,4,1,1,1,1,0,0
ENSMUSG00000078606,4,1,1,1,1,0,0
ENSMUSG00000055413,4,1,1,1,0,0,1
ENSMUSG00000078921,4,1,1,1,0,0,1
ENSMUSG00000060550,4,1,1,1,0,0,1
ENSMUSG00000035373,3,1,0,1,0,0,1
ENSMUSG00000030249,3,0,1,1,1,0,0
ENSMUSG00000032271,3,0,1,1,1,0,0
ENSMUSG00000041134,3,1,0,1,1,0,0
ENSMUSG00000029417,3,1,1,1,0,0,0
ENSMUSG00000047592,3,0,1,1,1,0,0
ENSMUSG00000036502,3,0,1,1,1,0,0
ENSMUSG00000104818,3,0,1,1,1,0,0
ENSMUSG00000073418,3,0,1,1,1,0,0
ENSMUSG00000091650,3,0,1,1,1,0,0
ENSMUSG00000039699,3,0,1,1,1,0,0
ENSMUSG00000009185,3,0,1,1,0,0,1
ENSMUSG00000056427,3,0,1,1,1,0,0
ENSMUSG00000099759,3,0,1,1,1,0,0
ENSMUSG00000007888,3,0,0,1,1,1,0
ENSMUSG00000062515,3,0,1,1,1,0,0
ENSMUSG00000029352,3,0,1,1,1,0,0
ENSMUSG00000028553,3,1,1,1,0,0,0
ENSMUSG00000026117,3,0,1,1,0,1,0
ENSMUSG00000032374,3,0,1,1,1,0,0
ENSMUSG00000050440,3,0,1,1,0,0,1
ENSMUSG00000050578,3,1,0,1,1,0,0
ENSMUSG00000022146,3,0,1,1,1,0,0
ENSMUSG00000105504,3,1,1,1,0,0,0
ENSMUSG00000019359,3,1,0,1,1,0,0
ENSMUSG00000050919,3,1,0,1,1,0,0
ENSMUSG00000103585,3,1,0,1,1,0,0
ENSMUSG00000051331,3,0,1,1,1,0,0
ENSMUSG00000022057,3,0,1,0,1,1,0
ENSMUSG00000034825,3,0,1,1,1,0,0
ENSMUSG00000110588,3,0,1,1,1,0,0
ENSMUSG00000078780,3,0,1,0,1,1,0
ENSMUSG00000020407,3,0,1,1,1,0,0
ENSMUSG00000032081,3,1,1,1,0,0,0
ENSMUSG00000031465,3,0,1,1,1,0,0
ENSMUSG00000023067,3,0,1,1,1,0,0
ENSMUSG00000074151,3,1,1,1,0,0,0
ENSMUSG00000065401,3,0,1,1,1,0,0
ENSMUSG00000047330,3,0,1,1,1,0,0
ENSMUSG00000020481,3,0,1,1,1,0,0
ENSMUSG00000035929,3,1,1,1,0,0,0
ENSMUSG00000024610,3,0,1,1,0,0,1
ENSMUSG00000085399,3,0,1,1,1,0,0
ENSMUSG00000034438,3,0,1,1,1,0,0
ENSMUSG00000026678,3,0,1,1,1,0,0
ENSMUSG00000041073,3,0,1,1,1,0,0
ENSMUSG00000000182,3,0,1,1,1,0,0
ENSMUSG00000006310,3,1,0,1,0,1,0
ENSMUSG00000030111,3,0,1,1,1,0,0
ENSMUSG00000073433,3,0,1,1,1,0,0
ENSMUSG00000048988,3,1,1,0,1,0,0
ENSMUSG00000057123,3,0,1,1,1,0,0
ENSMUSG00000096965,3,0,1,1,1,0,0
ENSMUSG00000078922,3,0,1,1,0,0,1
ENSMUSG00000020429,3,1,1,1,0,0,0
ENSMUSG00000082292,3,1,1,1,0,0,0
ENSMUSG00000001131,3,0,1,1,1,0,0
ENSMUSG00000015854,3,0,1,1,1,0,0
ENSMUSG00000090877,3,0,1,1,1,0,0
ENSMUSG00000026390,3,1,0,1,1,0,0
ENSMUSG00000030117,3,0,1,1,1,0,0
ENSMUSG00000078956,3,1,0,1,1,0,0
ENSMUSG00000030114,3,0,1,1,1,0,0
ENSMUSG00000079363,3,0,1,1,0,0,1
ENSMUSG00000102705,3,0,0,1,1,1,0
ENSMUSG00000045509,3,0,1,1,1,0,0
ENSMUSG00000047443,3,0,1,1,1,0,0
ENSMUSG00000017978,2,0,0,1,1,0,0
ENSMUSG00000093861,2,0,0,1,1,0,0
ENSMUSG00000053399,2,0,0,1,0,1,0
ENSMUSG00000002565,2,0,0,1,1,0,0
ENSMUSG00000028270,2,0,1,1,0,0,0
ENSMUSG00000033825,2,0,0,1,1,0,0
ENSMUSG00000029335,2,0,1,1,0,0,0
ENSMUSG00000028661,2,0,0,1,1,0,0
ENSMUSG00000106209,2,0,0,1,1,0,0
ENSMUSG00000074274,2,0,1,1,0,0,0
