"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"ENSMUSG00000045817",3732.02490793633,-4.09253692258169,0.14638178683137,-27.9579653396105,5.27487113821161e-172,8.95303878288657e-168,"Zfp36l2"
"ENSMUSG00000071562",21573.6740308752,-3.84516141917783,0.171778932363132,-22.3843597481987,5.59025499391857e-111,4.74416990058899e-107,"Stfa1"
"ENSMUSG00000094733",518.64536215014,-5.58560947382822,0.267771034974278,-20.8596477746922,1.24585648689564e-96,7.04864071735987e-93,"Gm5416"
"ENSMUSG00000095620",3063.50650900806,-4.42891802669171,0.222775650587921,-19.880619874764,5.98893643689701e-88,2.54125545358632e-84,"2010005H15Rik"
"ENSMUSG00000079597",14835.906033096,-3.47122907028675,0.180576785674998,-19.2230084133532,2.37587077282671e-82,8.06513092543756e-79,"Gm5483"
"ENSMUSG00000079594",265.937544066908,-3.87164437293959,0.205525691412684,-18.8377635240042,3.70284605373901e-79,1.04747343450187e-75,"BC117090"
"ENSMUSG00000096719",164.576514973789,-4.56389145770633,0.245704812643005,-18.5746929765572,5.14988033127196e-77,1.24869884089541e-73,"Mrgpra2b"
"ENSMUSG00000059657",8198.12788673534,-3.61820498004018,0.198245490357933,-18.2511338518092,2.02659089945853e-74,4.2996659170637e-71,"Stfa2l1"
"ENSMUSG00000071561",19532.617780768,-3.01599475267958,0.168704248254374,-17.8774084463601,1.7686937227519e-71,3.33555983958533e-68,"BC100530"
"ENSMUSG00000091694",11752.7638988041,3.52203697183995,0.206584389124288,17.0489018399207,3.56162050468863e-65,6.04513848260801e-62,"Apol11b"
"ENSMUSG00000022483",1992.89214320812,2.2327979415084,0.134567362441881,16.592418109352,7.90716508535549e-62,1.22007557267035e-58,"Col2a1"
"ENSMUSG00000031825",691.689890239278,-2.68859695761561,0.171702737483457,-15.6584396790683,2.90947999945274e-55,4.11521700255928e-52,"Crispld2"
"ENSMUSG00000028755",159.015726872756,3.40148018273145,0.217429770542307,15.6440407136869,3.64825387615186e-55,4.76321638768657e-52,"Cda"
"ENSMUSG00000010154",312.651178195896,3.66859588635738,0.236460204933475,15.5146439435316,2.76162365157014e-54,3.34807415986429e-51,"Spire2"
"ENSMUSG00000006586",194.741535238794,-3.94127851220942,0.257004905871405,-15.3354213175272,4.4338662366013e-53,5.01706744225559e-50,"Runx1t1"
"ENSMUSG00000073386",292.156097560882,-3.1715511485058,0.208533322288097,-15.2088458271632,3.08941916938706e-52,3.27729447262541e-49,"9830107B12Rik"
"ENSMUSG00000054905",8279.28612200559,-2.77335189093089,0.184676672000549,-15.0173373869475,5.65333625353761e-51,5.64435742537022e-48,"Stfa3"
"ENSMUSG00000022456",87.2297392473128,4.14181153558024,0.279862974405515,14.7994265564363,1.47736754504079e-49,1.39307551899874e-46,"Sept3"
"ENSMUSG00000086564",244.884560784277,-2.67096000013765,0.181720157014899,-14.6982043379957,6.6191769839903e-49,5.91301531311934e-46,"Cd101"
"ENSMUSG00000022902",7712.66250199154,-2.97877817322818,0.203618364503513,-14.6292215856433,1.82867338784526e-48,1.55190367059488e-45,"Stfa2"
"ENSMUSG00000028024",574.881887503689,2.2416655023731,0.154807359741229,14.4803548495382,1.61262494558076e-47,1.30338491434963e-44,"Enpep"
"ENSMUSG00000026991",1107.3981414515,1.27331823600343,0.0883413496417906,14.4136153813194,4.24874537562395e-47,3.27790705729388e-44,"Pkp4"
"ENSMUSG00000022876",1066.31396905636,-1.23080928974111,0.0874870411392075,-14.0684754417819,5.93347759541452e-45,4.37864848812916e-42,"Samsn1"
"ENSMUSG00000060509",91.9240633068453,3.54100017741108,0.256361760233044,13.8125131228314,2.14225457707521e-43,1.51502028902906e-40,"Xcr1"
"ENSMUSG00000006389",143.316124108457,-5.3887080499201,0.393903345929055,-13.6802799610914,1.33178950154453e-42,9.04178528388615e-40,"Mpl"
"ENSMUSG00000062380",243.251232868186,2.41452361573225,0.176600033731635,13.6722715432853,1.48680322385188e-42,9.70596581478383e-40,"Tubb3"
"ENSMUSG00000020027",636.295472380172,1.71474475846831,0.127435889389069,13.4557444271692,2.84855955507146e-41,1.79068893808252e-38,"Socs2"
"ENSMUSG00000030427",284.453214797912,-2.97816539350868,0.223468241738401,-13.3270185076008,1.61212724571898e-40,9.7723699077101e-38,"Lilra6"
"ENSMUSG00000026042",8361.89855526059,2.16857808346166,0.162891608857819,13.3130128597018,1.94478215682303e-40,1.13823405337094e-37,"Col5a2"
"ENSMUSG00000029413",1320.07162967591,1.45919188030688,0.11089655589736,13.1581352414355,1.52810876377127e-39,8.64553001582992e-37,"Naaa"
"ENSMUSG00000055639",396.737915772942,-2.1571554998789,0.164388105680669,-13.1223332183733,2.45265660903743e-39,1.34286905242556e-36,"Dach1"
"ENSMUSG00000026579",1151.95142232553,-2.48894832428636,0.189913198768044,-13.1057153501285,3.05369322805984e-39,1.61969797374561e-36,"F5"
"ENSMUSG00000026357",642.753480853142,-2.30015240301292,0.175669154363422,-13.0936612710869,3.57929619178677e-39,1.840951341309e-36,"Rgs18"
"ENSMUSG00000026158",1822.84093989124,-1.57715592025976,0.120593963727525,-13.0782327034481,4.38517370458566e-39,2.1891045084686e-36,"Ogfrl1"
"ENSMUSG00000062345",87.4997704141586,-2.99105066242598,0.228812714253484,-13.0720474698466,4.75677400425524e-39,2.30676357640641e-36,"Serpinb2"
"ENSMUSG00000092572",170.654643403755,-2.41039819529494,0.184537816194174,-13.0618116384268,5.44171907397959e-39,2.56561938451821e-36,"Serpinb10"
"ENSMUSG00000078817",245.514013873754,-3.0991139342105,0.240673349105203,-12.876847169546,6.07676336191937e-38,2.7875920146448e-35,"Nlrp12"
"ENSMUSG00000048142",312.898625289896,-2.24728598597184,0.175174492948616,-12.828842533776,1.13040309897784e-37,5.04903468393444e-35,"Nat8l"
"ENSMUSG00000036959",814.499530584907,-1.74349273555706,0.136099266012692,-12.8104492157545,1.43302549683978e-37,6.23660045073372e-35,"Bcorl1"
"ENSMUSG00000068587",332.475508589892,-2.8486032042387,0.222426419877171,-12.8069462513121,1.49919245631164e-37,6.36144839024437e-35,"Mgam"
"ENSMUSG00000045551",556.025864330703,-2.46071973247108,0.193042533516848,-12.7470339703987,3.23833252217371e-37,1.34059068045986e-34,"Fpr1"
"ENSMUSG00000027559",1721.27837859307,2.08871075090492,0.16412978332164,12.7259703183287,4.24172407177027e-37,1.71416149214659e-34,"Car3"
"ENSMUSG00000021094",1477.94493459461,-1.80890866470454,0.142392170314384,-12.70370878336,5.6392521837515e-37,2.22593086778638e-34,"Dhrs7"
"ENSMUSG00000025277",181.220031667467,2.50536806535307,0.197709462512232,12.6719684203181,8.45653529488228e-37,3.26210849000084e-34,"Abhd6"
"ENSMUSG00000001249",344.593386755971,-1.45366885843034,0.115872751625696,-12.5453899906178,4.21334911619137e-36,1.58918165664702e-33,"Hpn"
"ENSMUSG00000030074",425.734123721024,2.00096493445734,0.159672808924135,12.5316573807383,5.01045246894151e-36,1.84874803815966e-33,"Gxylt2"
"ENSMUSG00000095028",125.276615645956,-3.26824629667341,0.262259330687952,-12.4618875831804,1.20484646445006e-35,4.35103383853423e-33,"Sirpb1b"
"ENSMUSG00000089942",226.677020698482,-1.84913803318651,0.148892161036533,-12.41931086441,2.05322469727431e-35,7.260288080591e-33,"Pira2"
"ENSMUSG00000027360",1542.61002840035,-2.06621548890206,0.166603869766412,-12.4019657634544,2.549903127034e-35,8.83255219900983e-33,"Hdc"
"ENSMUSG00000079022",2103.60574323325,2.19092964325449,0.179127414935668,12.2311241081737,2.1198454572959e-34,7.19602738933665e-32,"Col22a1"
"ENSMUSG00000005824",252.573017468809,-2.0527772449679,0.168253242108298,-12.2005211860738,3.08840798398701e-34,1.02783428847473e-31,"Tnfsf14"
"ENSMUSG00000005672",1118.38906245754,-1.64855259383896,0.135433189202154,-12.1724416559242,4.35846763442254e-34,1.42262059921257e-31,"Kit"
"ENSMUSG00000005533",1478.4070038409,-1.41853558088232,0.116555175541018,-12.1705070092157,4.46301662518641e-34,1.42926002225073e-31,"Igf1r"
"ENSMUSG00000072875",253.697894699684,-2.87823443608998,0.238476177894067,-12.0692744302893,1.53481556095288e-33,4.824152688158e-31,"Gpr27"
"ENSMUSG00000024300",4907.00543508242,-1.78786804363349,0.14834806507174,-12.0518460606068,1.89654151675751e-33,5.85272712071367e-31,"Myo1f"
"ENSMUSG00000054203",92.7951464255299,2.49621047319142,0.207177380069507,12.0486631907111,1.97120884238744e-33,5.97452280032893e-31,"Ifi205"
"ENSMUSG00000042759",2077.21350386509,-1.80624827869558,0.151119206264962,-11.9524733046085,6.30213282791117e-33,1.87659825417783e-30,"Apobr"
"ENSMUSG00000020787",488.576571232803,-2.21979148151645,0.185784104662243,-11.9482314461296,6.63215623375259e-33,1.9408204785428e-30,"P2rx1"
"ENSMUSG00000022824",132.441655691861,-2.61556491023336,0.219301754890585,-11.9267851346576,8.58243499818236e-33,2.4689774444771e-30,"Muc13"
"ENSMUSG00000020020",164.01780008132,2.53749268815834,0.21380023386499,11.8685215740256,1.72488853944764e-32,4.87942219667414e-30,"Usp44"
"ENSMUSG00000047443",1282.70124214978,3.27520224091448,0.276580522799504,11.84176748154,2.37396555996882e-32,6.60546187694275e-30,"Erfe"
"ENSMUSG00000049130",1144.25982728628,-1.97898425828686,0.167419068557857,-11.8205427573679,3.05703043914295e-32,8.36886736186665e-30,"C5ar1"
"ENSMUSG00000042417",146.698978142357,-2.62834570471475,0.222755599918151,-11.799235151352,3.93875108000841e-32,1.061149556841e-29,"Ccno"
"ENSMUSG00000020010",163.632739131208,-2.37638858090109,0.201436507255683,-11.7972090227157,4.03472341289953e-32,1.07002125761162e-29,"Vnn3"
"ENSMUSG00000032374",541.766235040773,1.93834578099465,0.16460573854436,11.7756877623819,5.20905012340142e-32,1.36020319606911e-29,"Plod2"
"ENSMUSG00000020101",6201.51664404175,-1.33697035080958,0.113644886866283,-11.7644567008341,5.95081882962682e-32,1.53035224235237e-29,"Vsir"
"ENSMUSG00000025279",243.387471766104,1.78232844578619,0.151618536329808,11.7553466016133,6.62881831813575e-32,1.67926766139878e-29,"Dnase1l3"
"ENSMUSG00000005803",1086.39085793364,-1.98409119877317,0.168863796948041,-11.7496540681462,7.0908530638134e-32,1.76989778017801e-29,"Sqor"
"ENSMUSG00000030513",872.300770849839,2.01490675701692,0.172097658021957,11.7079266515053,1.16083600310012e-31,2.85548833052439e-29,"Pcsk6"
"ENSMUSG00000005800",5901.42922270224,-2.57445823850472,0.220088061693972,-11.6974006617608,1.31417530982828e-31,3.18649964767364e-29,"Mmp8"
"ENSMUSG00000078783",117.718630384986,-2.57474982903689,0.220293581589122,-11.6878113763621,1.4712929895306e-31,3.51721914243703e-29,"Gm9733"
"ENSMUSG00000091650",179.668073606309,3.41260495826983,0.292012857718852,11.6864886872737,1.49438035072763e-31,3.5227941240139e-29,"Apol11a"
"ENSMUSG00000047953",256.875216498716,-3.02158700461232,0.258634148396453,-11.6828617695936,1.55954951270858e-31,3.62605943550721e-29,"Gp5"
"ENSMUSG00000032691",386.513082572052,-2.55487862875348,0.218733098026702,-11.6803476556693,1.60637175250437e-31,3.684452399359e-29,"Nlrp3"
"ENSMUSG00000029661",315738.731648796,2.1825139373776,0.186943212361501,11.6747428794428,1.71583743479373e-31,3.88305450410053e-29,"Col1a2"
"ENSMUSG00000017002",1798.71174203073,-2.5922434119622,0.222934489118843,-11.627825834433,2.97580508114243e-31,6.64583416345138e-29,"Slpi"
"ENSMUSG00000070436",8224.00067133092,1.74097073045131,0.149934518478031,11.6115404786283,3.6006946784985e-31,7.93695984131884e-29,"Serpinh1"
"ENSMUSG00000063193",697.668678871027,-2.4129186923322,0.207870992470106,-11.6077701061595,3.76301173518954e-31,8.18841002325284e-29,"Cd300lb"
"ENSMUSG00000039232",1134.36648898163,-1.35835756352451,0.117220238585759,-11.5880805218694,4.73627654575004e-31,1.01758002292425e-28,"Stx11"
"ENSMUSG00000006642",57.9161998005961,4.65952833568916,0.404281728402753,11.5254487362022,9.81992340740598e-31,2.08341949992377e-28,"Tcf23"
"ENSMUSG00000027907",6464.93673744653,-1.64776283839368,0.143805175231799,-11.4582999932906,2.13667524443879e-30,4.47725789183452e-28,"S100a11"
"ENSMUSG00000033192",982.548749797024,-1.6130836638261,0.140905583951231,-11.447975435696,2.40701596074589e-30,4.9822295002122e-28,"Lpcat2"
"ENSMUSG00000020120",2625.88913161318,-1.62374731679796,0.142096202206357,-11.4270986246339,3.06168519969914e-30,6.26096179451728e-28,"Plek"
"ENSMUSG00000023349",417.598041630584,2.42953106068649,0.212995184619749,11.4065069828871,3.87999223857403e-30,7.83989384110916e-28,"Clec4n"
"ENSMUSG00000046442",689.992044092229,1.75989118840556,0.154452086388205,11.394415119665,4.4581366583321e-30,8.90211217669068e-28,"Ppm1e"
"ENSMUSG00000060586",2075.82756172686,2.15806893424098,0.189767876470999,11.3721509370991,5.75516183550869e-30,1.13584141667545e-27,"H2-Eb1"
"ENSMUSG00000067235",500.571230943142,-2.29429281177389,0.202622794222363,-11.32297489322,1.00985738055761e-29,1.9701504965752e-27,"H2-Q10"
"ENSMUSG00000074342",592.98748433651,-1.95838090946006,0.173072239055768,-11.315395930303,1.10104122685306e-29,2.12363326629284e-27,"I830077J02Rik"
