Gene Name,Lung,Liver,BM,Spleen,Ovary,Kidney
1600014C23Rik,0,0.22,0,0,0,7.86
1700003F12Rik,17.66,32.979999999999997,15.98,50.46,15.19,9.3000000000000007
1700006J14Rik,8.56,12.56,99.89,313.16000000000003,188.64,208.59
1700030C10Rik,55.58,46.55,18.04,36.950000000000003,97.95,146.04
1700030J22Rik,78.14,12,12.49,23.26,266.82,73.48
1700034K08Rik,0,0,0,0,7.81,0
1700066C05Rik,0,0,0,0,20.43,0
1700069B07Rik,0,0,7.3,15.13,48.79,0
1700086P04Rik,0,0,0,11.89,20.190000000000001,0
1810059H22Rik,32.520000000000003,177.73,361.62,45.46,42.87,163.29
2010003K11Rik,0,401.06,0,0,0,9.2100000000000009
2200002D01Rik,807.97,56.76,60.42,56.2,56.54,311.70999999999998
2310030G06Rik,455.58,399.15,9.35,20.65,138.15,559.89
2410018L13Rik,123.53,16.48,23.53,30.75,481.04,117.85
2700046A07Rik,298.04000000000002,8.1999999999999993,0,7.92,405.84,141.22999999999999
3222401L13Rik,66.64,16.78,6.21,13.15,59.27,28.39
3300002I08Rik,36.049999999999997,15.16,11.72,10.26,99.6,52.7
3300005D01Rik,13.8,0,22.03,54.52,0,20.32
3425401B19Rik,14.64,0,9.27,21.73,0,0
3930402G23Rik,45.73,686.45,10.46,0,0,12.66
4631405J19Rik,34.04,6.03,0,0,11.52,37.03
4632432E15Rik,0,0,0.98,1.49,15.35,0
4732465J04Rik,0,214.84,0,0,23.88,58.95
4930447C04Rik,0,0,9.93,22.7,115.95,0
4930486L24Rik,109.97,21.58,12.63,82.41,20.71,21.31
4930519F16Rik,0,0,0,0,19.02,0
4930550L24Rik,0,0,0,0,24.39,0
4930558C23Rik,0,0,0,0,6.06,0
4930573C15Rik,0,0,0,6.14,0,0
4930594O21Rik,0,0,0,0.75,0,0
4932438H23Rik,0,0,0,0,54.66,0
4933406G16Rik,0,0,0,0,5.63,0
5530400C23Rik,0,0,0,0,0.41,0
5730488B01Rik,0,0,56.59,35.340000000000003,0,0
5730507C01Rik,23.57,0,0,6.02,118.19,35.51
5830408C22Rik,58.91,8.24,54.41,57.64,31.66,61.51
5830411N06Rik,32.56,0,10.08,98.05,14.65,0
6430562O15Rik,54.6,16.940000000000001,9.67,19.54,67.11,68.83
9030624G23Rik,36.22,0,5.21,8.76,86.71,27.38
9130024F11Rik,0,0,30.36,0,16.98,202.85
9330175E14Rik,8.1,10.79,18.75,37.520000000000003,0,0
9330182L06Rik,232.34,10.95,8.9600000000000009,35.78,511.42,27.91
9530036M11Rik,0,3.63,0,0,0,0
9530085L11Rik,40.89,0,27.91,19.579999999999998,40.83,18.329999999999998
9930111J21Rik1,35.71,21.62,75.94,165.47,0,0
A2m,608.07000000000005,522.97,23.94,6.1,0,9.85
A4galt,335.94,37.75,23.04,451.28,1075.58,1105.21
A530016L24Rik,0,12.59,0,0,69.59,20.329999999999998
A630010A05Rik,0,0,0,0,47.01,0
A930004D18Rik,552.61,94.49,19.09,84.54,504.42,514.84
A930017M01Rik,0,0,0,0,22.19,0
AF366264,0,0,0,0,2.56,0
AW112010,172.73,1435.46,114.14,652.75,18.600000000000001,17.46
Abca4,284.54000000000002,36.950000000000003,11.22,38.299999999999997,603.29,246.6
Abcb1a,747.42,325.89999999999998,17.07,350.71,1097.93,36.08
Abcc3,479.78,898.27,221.35,1383.74,503.8,835
Abcc9,326.08,726.31,606.03,1717.47,1530.38,501.9
Abhd5,2136.39,1713.79,1416.77,1486.97,924.19,1529.74
Abhd6,256.2,636.03,54.17,201.51,677.82,923.05
Ablim2,47.7,36.840000000000003,5.04,42.51,487.87,116.2
Acadsb,5470.81,2431.8200000000002,650.34,1219.9000000000001,2951.45,3762.84
Acan,0,0,66.13,31.04,28.61,0
Acer2,5858.34,677.68,133.72999999999999,218.37,256.35000000000002,2502.2800000000002
Ackr2,695.86,104.62,45.16,177.12,45.78,53.12
Ackr4,171,35.770000000000003,110.92,18.79,86.42,28.33
Acmsd,52.9,126.83,477.43,951.78,0,408.27
Acod1,4.88,12.7,46.09,0,0,0
Acsbg1,25.07,13.32,22.46,78.87,4636.24,47.69
Actn2,487.94,25.56,40.93,14.88,9.6999999999999993,15.18
Actn3,44.7,28.78,120.48,82.02,764.71,189.25
Adam12,1073.9100000000001,136.52000000000001,265.04000000000002,262.06,2902.75,1428.13
Adam23,739.7,526.77,11.34,292.18,738.86,74.88
Adamdec1,241.44,204.13,12.64,441.57,25.49,10
Adamts1,5700.24,688.52,274.83,580.30999999999995,1597.89,5535.29
Adamts12,388.12,64.010000000000005,63.2,161.63,1994.63,320.83999999999997
Adamts14,154.96,200.24,75.8,125.37,548.74,185.2
Adamts15,1576.21,121.28,29.11,95.15,333.21,1382.44
Adamts17,2999.89,31.17,50.74,358.41,949.97,2009.81
Adamts18,19.829999999999998,0,9.4700000000000006,0,10.11,476.2
Adamts2,5372.38,649.42999999999995,652.71,1585.18,13691.04,1561.22
Adamts4,273.61,78.040000000000006,78.959999999999994,139.25,469.67,663.85
Adamts5,1125.0899999999999,223.28,319.13,842.11,560.24,1944.13
Adamts9,1725.52,215.3,267.67,504.75,4501.28,1103.5899999999999
Adamtsl1,317,56.61,20.71,50.01,1200.0899999999999,540.32000000000005
Adamtsl2,1016.56,91.03,17.46,415.5,1174.0899999999999,72.599999999999994
Adamtsl5,443.56,71.84,77.599999999999994,178.8,136.81,128.46
Adarb1,2759.37,186.87,116.85,195.51,711.11,314.41000000000003
Adcy1,79.7,135.78,10.19,176.13,651.16,961.32
Adcy2,1401.63,45.53,45.09,77.819999999999993,926.33,115.96
Adcy3,656.76,107.37,200.62,505.89,1436.92,378.73
Add2,241.16,253.61,11077.86,17010.55,462.31,157.38
Adgra2,5130.57,575.80999999999995,296.57,1184.1300000000001,3829.46,3527.14
